IP:Port,Method,Endpoint,Status Code,UUID
172.17.0.1:38216,GET,/_app/immutable/chunks/ModelEditor.HVWt-RUY.js,200,No UUID Found
172.17.0.1:38202,GET,/api/webhook,200,No UUID Found
172.17.0.1:38244,GET,/api/v1/auths/admin/config,200,No UUID Found
172.17.0.1:38216,GET,/api/v1/auths/admin/config/ldap/server,200,No UUID Found
172.17.0.1:38216,GET,/api/v1/auths/admin/config/ldap,200,No UUID Found
172.17.0.1:38690,GET,/api/v1/functions/,200,No UUID Found
172.17.0.1:38690,GET,/api/v1/auths/admin/config,200,No UUID Found
172.17.0.1:38708,GET,/api/v1/auths/admin/config/ldap/server,200,No UUID Found
172.17.0.1:38698,GET,/api/webhook,200,No UUID Found
172.17.0.1:38698,GET,/api/v1/auths/admin/config/ldap,200,No UUID Found
172.17.0.1:38708,GET,/openai/config,200,No UUID Found
172.17.0.1:38698,GET,/ollama/config,200,No UUID Found
172.17.0.1:50636,POST,/openai/config/update,200,No UUID Found
172.17.0.1:50636,GET,/api/models,200,No UUID Found
172.17.0.1:57876,GET,/api/v1/configs/models,200,No UUID Found
172.17.0.1:57882,GET,/ollama/config,200,No UUID Found
172.17.0.1:57896,GET,/api/v1/models/base,200,No UUID Found
172.17.0.1:57896,GET,/api/models/base,200,No UUID Found
